nome,categoria
Several Roupas,Livros
Lawyer Livros,Roupas
Physical Alimentos,Ferramentas
Suffer Cosméticos,Cosméticos
Sit Eletrônicos,Brinquedos
Space Cosméticos,Brinquedos
Especially Alimentos,Livros
Wear Brinquedos,Esportes
Rather Alimentos,Brinquedos
Realize Alimentos,Esportes
Education Ferramentas,Roupas
Shoulder Livros,Eletrônicos
State Brinquedos,Cosméticos
Hear Cosméticos,Livros
Officer Cosméticos,Ferramentas
Commercial Livros,Roupas
At Alimentos,Roupas
Seven Eletrônicos,Cosméticos
Little Roupas,Móveis
Reality Móveis,Ferramentas
Coach Eletrônicos,Brinquedos
Value Esportes,Eletrônicos
Happy Cosméticos,Brinquedos
Company Roupas,Brinquedos
Front Roupas,Roupas
North Ferramentas,Móveis
Tonight Eletrônicos,Roupas
Any Livros,Cosméticos
Possible Esportes,Esportes
Back Móveis,Móveis
Young Móveis,Brinquedos
His Brinquedos,Roupas
So Alimentos,Alimentos
Treat Roupas,Brinquedos
Career Cosméticos,Alimentos
Change Cosméticos,Livros
Important Livros,Esportes
Manager Ferramentas,Eletrônicos
